close_ts,reversal_1d,reversal_90d,reversal_120d,reversal_60d,reversal_15d
2025-08-01 07:40:59.999,0.017669840986462293,-0.19033099349632399,-0.3586639381770681,-0.09720563699684637,0.02511136391191715
2025-08-01 07:41:59.999,0.018326399832113482,-0.18952363339634515,-0.357152274261916,-0.09646734219887965,0.02597699803274256
2025-08-01 07:42:59.999,0.01735230189953385,-0.19048955570498782,-0.3586042260387198,-0.09752457332214648,0.024851942515409453
2025-08-01 07:43:59.999,0.016712040655717075,-0.1913419126714796,-0.3590934414365424,-0.09886504765729331,0.0241244094465487
2025-08-01 07:44:59.999,0.01694581949907681,-0.19113093023911476,-0.35881111093085505,-0.09863709866547266,0.024496967088036614
2025-08-01 07:45:59.999,0.016539541422928572,-0.19189059241467998,-0.36094863382023734,-0.09901771423963657,0.023490800157903946
2025-08-01 07:46:59.999,0.018263934311946062,-0.19034190399676976,-0.3597733782401985,-0.09722963487152514,0.025092522215473756
2025-08-01 07:47:59.999,0.017771950489998356,-0.19097029893195527,-0.3597489044471206,-0.0980032532180376,0.02411210635549821
2025-08-01 07:48:59.999,0.017561989164348035,-0.19156319358910157,-0.3609356116435726,-0.09856601484935068,0.02370583784828295
2025-08-01 07:49:59.999,0.017967021357797153,-0.19133511147337134,-0.3603740379468363,-0.09855792660293639,0.023787320851549554
2025-08-01 07:50:59.999,0.017822789064577682,-0.19162988055027952,-0.3609982036658592,-0.09910132118807868,0.02282241446317601
2025-08-01 07:51:59.999,0.018590596650657543,-0.1909434714540187,-0.3601863159027411,-0.0986810323167795,0.023464606227727725
2025-08-01 07:52:59.999,0.018703981368529354,-0.19007891860361104,-0.35938558139691523,-0.09822014176940952,0.023932244862987284
2025-08-01 07:53:59.999,0.018566351501412615,-0.19033859754454785,-0.3600232904829783,-0.09855888494733833,0.023399087842144173
2025-08-01 07:54:59.999,0.018839213483994866,-0.189487937252946,-0.3589495711843529,-0.09748692288982397,0.02435174088541059
2025-08-01 07:55:59.999,0.01863693091996732,-0.18990849973283208,-0.35963211592298394,-0.0981874618040024,0.023817541364949624
2025-08-01 07:56:59.999,0.017978845150188882,-0.19080299683148028,-0.35942430841934103,-0.09895020551063105,0.022932898614384523
2025-08-01 07:57:59.999,0.0177195261609433,-0.1904375074398733,-0.3600346131762233,-0.09884811180787922,0.023307946602265095
2025-08-01 07:58:59.999,0.017896356893112864,-0.19025389551990068,-0.3607399093516882,-0.09906112309944559,0.023382583999735695
2025-08-01 07:59:59.999,0.01764906090638252,-0.1904659092635388,-0.3607554926886877,-0.09885836737117981,0.0227572880625333
