,neg_macd_30m_12h,neg_macd_30m_60d,neg_macd_30m_7d,neg_macd_hist_12h_7d_30m,neg_macd_hist_30m_30d_90d,neg_macd_hist_30m_3d_7d,neg_vwap_deviation_15d,neg_vwap_deviation_1d,neg_vwap_deviation_30d,neg_vwap_deviation_7d
2025-03-03,-0.006196844540048465,-0.04075487128625163,-0.08093012064376076,0.00395704895089242,-0.04133423905904992,-0.15297578001787562,-0.044112110711803765,-0.136019008137469,-0.03336777860038134,-0.04177317432235106
2025-03-04,0.037263972758237555,0.42141108066273275,0.3521937752501938,0.013537125384602836,0.38474048970793756,0.1901502504727736,0.381149507948219,0.047102293163035575,0.385522907201486,0.37212956590402735
2025-03-05,0.7530373563925867,0.3673991273376741,0.40894208944054894,0.7487317784079411,0.35785544327245167,0.5512341338420582,0.37567263476930973,0.5851583671901687,0.3626727722596538,0.4286036685646676
2025-03-06,0.145540671356736,0.22526701681281106,0.11658634428498883,0.14665434180610415,0.22338727392502056,-0.0009145219522226597,0.25074183472727657,0.07838766591408645,0.29439242213899375,0.15288670360703885
2025-03-07,0.3892941208051698,0.412999887297834,0.37462765541261545,0.38805660971831113,0.4287216881413878,0.43066582498576694,0.46871792568157544,0.5802051724959212,0.47186358662412964,0.16536335821382725
2025-03-08,0.3637579630700503,0.7286458811144447,0.626174677664473,0.34842225953336187,0.652924183351011,0.30271649577528686,0.6482837849764683,0.23168544967922158,0.8271156648304354,0.8318153209160233
2025-03-09,0.2387908771885154,0.21481903718568515,0.22091553072818831,0.23892448396108187,0.2220308125778392,0.2454093797536318,0.22920368268192906,0.25706727344289626,0.2308298684722382,0.22152430617719626
2025-03-10,0.42051015634409755,0.3741115084363081,0.4651442284559898,0.4119120008008859,0.4113739647178503,0.5971824951415002,0.381216250435798,0.539551164896637,0.3777555561034296,0.4848834589272352
2025-03-11,0.7612228969179353,0.6603948467869634,0.6368796153254643,0.7567294217449955,0.6463031086835437,0.6420436480755928,0.6558193140461874,0.6661329017980239,0.6654269160336079,0.6642407410211848
2025-03-12,0.6077124983618513,0.46593234645234327,0.43505666320065317,0.6190737931948754,0.4019858363849031,0.6731251561215924,0.44166794531308173,0.8040713751916588,0.4511536778257869,0.3178278019479953
