CloseDateTime,neg_macd_30m_12h,neg_macd_30m_60d,neg_macd_30m_7d,neg_macd_hist_12h_7d_30m,neg_macd_hist_30m_30d_90d,neg_macd_hist_30m_3d_7d,neg_vwap_deviation_15d,neg_vwap_deviation_1d,neg_vwap_deviation_30d,neg_vwap_deviation_7d
2025-03-03 03:20:00,-1.075541426402308,0.8691739165727045,-1.9229317146268299,-0.6904008826158319,-0.05303053347706739,-4.3468886291142015,-0.6021729081102156,-1.7081063608450369,0.4519060178219239,-2.2999666056789994
2025-03-03 03:25:00,-0.9004488289807635,0.8859095722099231,-1.8717600662805953,-0.510445269991246,-0.02700293482717222,-4.2529445024230945,-0.569807404280807,-1.5919332184817203,0.4718893762673027,-2.2529080028731876
2025-03-03 03:30:00,-0.7723967545812482,0.8979803911365754,-1.834275170752574,-0.378852436598579,-0.008220666563735497,-4.181676292974947,-0.6422967920830228,-1.8283075153029775,0.4266113800703823,-2.358217122732207
2025-03-03 03:35:00,-0.7318482057052592,0.9010186871383762,-1.823224598337027,-0.33697131371816474,-0.003459579418100551,-4.153890415960047,-0.6561348905045129,-1.869671677863212,0.41796484266747536,-2.379671329864845
2025-03-03 03:40:00,-0.7168052388616403,0.9014285514142527,-1.8198665627187351,-0.3212426554415293,-0.0027784589989129404,-4.138774140861073,-0.6637108935248696,-1.8905630382105756,0.41321627450977527,-2.3910727856161267
2025-03-03 03:45:00,-0.6360612785124042,0.9087578494477284,-1.7962824474482313,-0.23825258263459287,0.008641198847151895,-4.090530187947064,-0.595066110758469,-1.6574589851155286,0.45585153129766226,-2.2927687578832283
2025-03-03 03:50:00,-0.6152419794453474,0.9099195505070495,-1.7907517604167242,-0.21671215726754975,0.010486547291060517,-4.072004293994328,-0.6514809568943147,-1.8350542340679816,0.4206367288947779,-2.374148570110697
2025-03-03 03:55:00,-0.6450786070826035,0.9057780899805501,-1.8007273909633097,-0.24705349178974134,0.004101574296614838,-4.078933240289172,-0.6774661334946098,-1.9150028508282144,0.40436703991615747,-2.4116638923328493
2025-03-03 04:00:00,-0.6286582098453504,0.9064567661836891,-1.7966039292686835,-0.23000276433178904,0.005198379303436689,-4.062734577995364,-0.6405537864052919,-1.787642076179278,0.4273021140058886,-2.3590722603973693
2025-03-03 04:05:00,-0.6137374228541982,0.9069996847228808,-1.7928808356650012,-0.21450307533811824,0.0060843177568821625,-4.047228181512056,-0.6476422180299841,-1.8045127743008833,0.4228518124435059,-2.370858363819585
2025-03-03 04:10:00,-0.5816532143460228,0.9093662064775573,-1.7838298846923106,-0.18144370289644673,0.009800230462358705,-4.023022209145271,-0.6223367463843433,-1.7153358674638874,0.43856252187219985,-2.3349657565187703
2025-03-03 04:15:00,-0.5745032244225218,0.9091613086994335,-1.7823047526794376,-0.17394949399234966,0.009524658292423951,-4.011211641913482,-0.6360712905819916,-1.7537888663516183,0.42988277238598477,-2.3548033848787493
2025-03-03 04:20:00,-0.5445162603175,0.911378446821046,-1.773702886795752,-0.14308788602894484,0.013007720904108714,-3.987836757494913,-0.6528817478878035,-1.8050640844223016,0.419381666388017,-2.3791407613348574
2025-03-03 04:25:00,-0.5860561200824718,0.9061118629790685,-1.7869844988205126,-0.18548699813640926,0.004876053024809511,-4.000381841640561,-0.688630173023051,-1.915630625646268,0.3969801838241427,-2.430718122573473
2025-03-03 04:30:00,-0.5674262949562042,0.9071074026996312,-1.7819480894262496,-0.1662344230213367,0.00646445710906324,-3.9828675013085277,-0.6421503216947797,-1.755465366288171,0.4258548122440158,-2.36424776048333
2025-03-03 04:35:00,-0.5278731706982754,0.910337413333862,-1.7703857757238572,-0.12558345459267461,0.011520101498418905,-3.9547026423859073,-0.6435544192183512,-1.7551781024770694,0.4247896120434353,-2.369617335805118
2025-03-03 04:40:00,-0.5254733820191902,0.9097127550635152,-1.7701010408471625,-0.12300952922715418,0.010592694126242568,-3.9450847405376703,-0.6450797836226737,-1.7542338513082683,0.4237544109344133,-2.3739272033234076
2025-03-03 04:45:00,-0.5269544401494486,0.9086891723407309,-1.7709840013578242,-0.12441559445649915,0.009046242974167269,-3.9374076260859767,-0.6694478269077387,-1.8309769006722687,0.4085345541239541,-2.4093709485336796
2025-03-03 04:50:00,-0.571089217459006,0.9031722556763117,-1.785000453709259,-0.16948776763646342,0.0005269269338322999,-3.951271196804399,-0.6850227493972078,-1.8764136074635536,0.3987291403412903,-2.432305817213028
2025-03-03 04:55:00,-0.6176749042865531,0.8973245716429242,-1.7999700946383548,-0.21701780287295924,-0.00850379998683695,-3.966657316484541,-0.6741306208431028,-1.8359111127749916,0.40540127512674373,-2.416837716495418
2025-03-03 05:00:00,-0.6166745796100459,0.8964314936820197,-1.8004466861545365,-0.21579131130926382,-0.009843958142251811,-3.9582656716276867,-0.689549691769646,-1.8841671968779639,0.3957499166692569,-2.4393924408231227
2025-03-03 05:05:00,-0.6447118841400608,0.8924839272122418,-1.8098516646890777,-0.24429490436022855,-0.015924123245298342,-3.9645263341666275,-0.7137048371408424,-1.9612145687536398,0.3806183039535666,-2.47433418985225
2025-03-03 05:10:00,-0.7185147391884117,0.8836713995733991,-1.8334679297422696,-0.31961943167479323,-0.029552845304199743,-3.9940570950500685,-0.7250287853171808,-1.9939827956524825,0.37342517238108885,-2.4905633468436
2025-03-03 05:15:00,-0.7505714923327335,0.8791470585616895,-1.8445292941422107,-0.35212983702104617,-0.03652401596321437,-4.002943663546931,-0.7273809484370902,-1.997585793544244,0.37192874860658154,-2.4943626891519153
